Price,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,
2025-05-02,488.8299865722656,490.9100036621094,484.8299865722656,486.5400085449219,39218100
2025-05-05,485.92999267578125,489.0299987792969,484.1000061035156,484.6000061035156,28309500
2025-05-06,481.4100036621094,485.04998779296875,478.19000244140625,479.55999755859375,32786300
2025-05-07,483.29998779296875,485.79998779296875,476.7799987792969,482.0799865722656,38006300
2025-05-08,488.2900085449219,492.70001220703125,484.1700134277344,488.5299987792969,39577600
2025-05-09,487.9700012207031,491.5400085449219,486.20001220703125,490.2099914550781,27767400
2025-05-12,507.8500061035156,507.8900146484375,501.4800109863281,506.989990234375,45090600
2025-05-13,515.5900268554688,517.3900146484375,508.4200134277344,509.1600036621094,53269600
2025-05-14,518.6799926757812,519.22998046875,515.75,516.77001953125,47014500
2025-05-15,519.25,521.9299926757812,515.1699829101562,516.52001953125,50153300
2025-05-16,521.510009765625,521.7000122070312,517.0999755859375,520.6599731445312,48394600
2025-05-19,522.010009765625,522.530029296875,514.239990234375,514.239990234375,52536200
2025-05-20,520.27001953125,520.9299926757812,516.6599731445312,519.469970703125,42517600
2025-05-21,513.0399780273438,523.0,511.239990234375,516.27001953125,71292800
2025-05-22,514.0,517.7100219726562,512.2999877929688,513.6599731445312,55607200
2025-05-23,509.239990234375,511.8399963378906,505.5799865722656,506.17999267578125,58368100
2025-05-27,521.219970703125,521.7100219726562,514.5900268554688,516.1500244140625,47226300
2025-05-28,518.9099731445312,523.6799926757812,518.3900146484375,522.1799926757812,46637200
2025-05-29,519.9299926757812,526.47998046875,517.3200073242188,526.3300170898438,58513300
2025-05-30,519.1099853515625,520.6799926757812,511.92999267578125,519.4400024414062,67662800
2025-06-02,523.2100219726562,523.4500122070312,515.969970703125,517.239990234375,44762800
2025-06-03,527.2999877929688,528.739990234375,522.6900024414062,523.5599975585938,44070300
2025-06-04,528.77001953125,529.8400268554688,525.969970703125,528.010009765625,41359300
2025-06-05,524.7899780273438,533.0499877929688,522.6599731445312,530.1799926757812,61031200
2025-06-06,529.9199829101562,531.7999877929688,528.2100219726562,530.0,42467000
2025-06-09,530.7000122070312,532.3499755859375,529.010009765625,530.1400146484375,33688700
2025-06-10,534.2100219726562,534.9000244140625,528.8900146484375,531.1699829101562,40664800
2025-06-11,532.4099731445312,536.780029296875,530.1099853515625,535.6199951171875,53701000
2025-06-12,533.6599731445312,534.6400146484375,530.8400268554688,531.0900268554688,34104900
2025-06-13,526.9600219726562,531.8699951171875,525.72998046875,527.6799926757812,55770000
